afslutningsvis	finally, till closing
altså	so, consequently
da	then, at the time
deriblandt	including, among them
det betyder	that means
dog	yet, still
egentlig	really, actually
alligevel	even so, still, nevertheless
bagefter	afterwords
derefter	after that, afterwords
derimod	in contrast
desuden	in addition, also, moreover
dvs. det vil sige	that is (i.e.)
endda	even, at that
alt i alt	all in all
blandt andet (bl.a)	among others
derfor	so, therefore
derudover	in addition, apart from that
desværre	unfortunately
eftersom	as, seeing that
endelig	finally
endog	even
for	because
forhåbentlig	hopefully
for øvrigt / i øvrigt	moreover
først of fremmest	primarily
heriblandt	including
i det hele taget	in general
endvidere	furthermore, also
for eksempel	for example
formodentilig	probably
følgelig	accordingly
ganske vist ... men	although
hertil kommer	in addition
i stedet (for)	instead (of)
faktisk	actually
for det første	firstly
for det andet	secondly
for resten	by the way
først	first
heldigvis	fortunately
hvorimod	whereas
ikke desto mindre	nonetheless
imidlertid	however
langt om længe	finally
ligesom	like
naturligvis	of course
omvendt	conversely
sagt på en anden måde	said in another way
selvom	though
især	especially
ligefrem	exactly
med andre ord	in other words
nemlig	exactly
oven i købet	even
samtidig	while
skønt	although
kort sagt	shortly said
ligeledes	also
muligvis	possibly
omsider	at last
på den anden side	on the other hand
sandsynligvis	probably
snarere	rather
således	thus
til sammenligning	for comparison
til trods for / på trods af	despite
tværtimod	on the contrary
ærlig talt	frankly
tillige	also
til sidst	finally
tilfældigvis	coincidentally
uheldigvis	unfortunately
åbenbart	manifestly
tilmed	moreover
til gengæld	however
trods alt	after all
ydermere	furthermore
